freq;N2;tx_site;N4;N5;programme;country;N6;N7;N8;N9;closed;N10;N11;N12;N13;station;N14;N15;N16
2400.000;;Vlorâ;vre;;ZAV Vlorâ Radio;ALB;;u;;;;;19e28/40n28;;;ZAV;;;
6330.000;c;Varna/Bolyartsi;vrn;;LZW;ALB;;b;;;;;27e47/43n04;;;CW;;;
153.000;i;Kenadsa (BÇchar);8;ar;Chaåne 1;ALG;;;2000.000;;;;02w21/31n34;;;Chaåne 1;;;
198.000;i;Berkaoui (Ouargla);30;ar;Chaåne 1;ALG;;;2000.000;;;;05e05/31n55;;;Chaåne 1;;;
252.000;;Tipaza;42;fr;Chaåne 3;ALG;;;1500.000;;;;02e29/36n34;;;Chaåne 3 irregular;;;
262.000;c;Illizi;33;;ILZ;ALG;;b;;;;;08e28/26n31;;;INACTIVE;;;
265.000;;Oran / Es Senia;31;;OO;ALG;;b;;;;;00w22/35n44;;;L142 ID+tone;;;
268.000;;Zarzaitine;33;;ZAR;ALG;;b;;;;;09e37/28n04;;;399Hz ID+5 gap;;;
283.000;;Biskra;7;;BIS;ALG;;b;;;;;05e42/34n49;;;4Hz ID+12 tone NEIS = Negative Keyi;;;
284.000;c;El Bayadh;;;BAY;ALG;;b;;;;;;;;INACTIVE;;;
300.000;;Oum El Bouaghi ???;;;OEB;ALG;;b;;;;;;;;942Hz ID+2 gap TO BE CONFIRMED;;;
304.000;;Bordj Mokhtar;1;;MOK;ALG;;b;;;;;00e57/21n21;;;1021Hz Cont. ID;;;
313.500;c;Cap Caxine;;;CX;ALG;;b;;;;;;;;INACTIVE;;;
320.000;;Beni Abbes;6;;BBS;ALG;;b;;;;;02w12/30n01;;;397Hz ID+3 gap;;;
331.000;;Hassi R.Mel / Tilrempt / Oue;3;;HRM;ALG;;b;;;;;03e17/32n56;;;1030Hz ID+5 gap;;;
334.000;c;Mostaganem;27;;MOS;ALG;;b;;;;;00e07/35n54;;;1022Hz INACTIVE;;;
335.000;c;Bou Saada;;;BSA;ALG;;b;;;;;;;;INACTIVE;;;
339.000;;Tindouf;37;;TDF;ALG;;b;;;;;08w07/27n41;;;L11 ID+10 tone;;;
340.000;c;Adrar / Touat;1;;ADR;ALG;;b;;;;;00w12/27n46;;;ID+9 tone INACTIVE;;;
340.000;;Ghardaia;47;;GHA;ALG;;b;;;;;;;;U8 ID+5 tone;;;
340.000;c;Setif;19;;STF;ALG;;b;;;;;05e17/36n11;;;ID+12 tone INACTIVE;;;
342.000;;Algiers / Houari Boumedienne;16;;OA;ALG;;b;;;;;03e22/36n46;;;36Hz ID+6 tone;;;
346.000;;Tlemcen / Zenata;13;;TLM;ALG;;b;;;;;01w22/35n01;;;U1 ID+17 tone;;;
353.000;;Beni Amrane;35;;BNA;ALG;;b;0.100;;;;03e37/36n39;;;505Hz ID+4 tone;;;
356.500;c;Ouargla;30;;OU;ALG;;b;;;;;05e27/31n56;;;7Hz ID+11 tone INACTIVE;;;
358.000;c;Tamanrasset / Aguenar;11;;TAM;ALG;;b;0.050;;;;05e27/22n49;;;L8 ID+12 tone INACTIVE;;;
358.000;;El Oued / Guemar;39;;ELO;ALG;;b;0.025;;;;06e47/33n31;;;414Hz ID+3 gap;;;
359.000;c;Zemmouri;35;;ZEM;ALG;;b;;;;;03e32/36n49;;;U1015 DAID INACTIVE;;;
363.000;c;El Golea;47;;MEA;ALG;;b;;;;;02e52/30n34;;;INACTIVE - NOW ON 375.0;;;
366.000;c;Annaba / El Mellah;23;;ANB;ALG;;b;;;;;07e47/36n49;;;INACTIVE;;;
370.000;;Algiers / Houari Boumedienne;16;;SMR;ALG;;b;;;;;03e07/36n41;;;1043Hz ID+4 gap;;;
373.000;;In Salah;11;;SAH;ALG;;b;;;;;02e32/27n16;;;5.8s 2010 4L;;;
375.000;c;El Golea;47;;MEA;ALG;;b;;;;;02e52/30n34;;;INACTIVE;;;
382.000;c;Touggourt / Sidi Mahdi;30;;TGU;ALG;;b;;;;;;;;INACTIVE;;;
383.000;;Timimoun;1;;TIO;ALG;;b;0.100;;;;00e17/29n14;;;U4 ID+9 tone;;;
389.000;c;Tiaret / Bou Chekif;14;;TRB;ALG;;b;0.025;;;;01e32/35n21;;;U23 ID+17 tone INACTIVE - SOUNDS LI;;;
390.000;c;Hassi Messaouad / Oued Irara;30;;HMD;ALG;;b;;;;;;;;INACTIVE;;;
390.000;c;Hassi Messaoud;30;;MSD;ALG;;b;;;;;06e04/31n44;;;INACTIVE;;;
392.000;;Annaba / El Mellah;23;;BO;ALG;;b;;;;;07e47/36n49;;;3Hz;;;
393.000;c;Tamanrasset / Aguenar;11;;TAM;ALG;;b;;;;;05e27/22n49;;;ID+6 gap INACTIVE;;;
397.000;;Cherchell;42;;CHE;ALG;;b;0.040;;;;02e12/36n36;;;1039Hz ID+5 gap;;;
397.000;;Constantine / Ain-El-Bey;25;;CNE;ALG;;b;;;;;06e42/36n11;;;U25 ID+11 tone;;;
407.000;;BÇchar;8;;BCR;ALG;;b;;;;;02w12/31n41;;;11Hz ID+9 tone;;;
413.000;c;Mecheria;45;;MCH;ALG;;b;0.050;;;;00w12/33n34;;;19Hz ID+9 tone INACTIVE;;;
415.000;c;Oran / Es Senia;31;;ON;ALG;;b;;;;;00w22/35n44;;;U27 ID+2 gap INACTIVE;;;
416.000;;Algiers / Houari Boumedienne;16;;MAR;ALG;;b;;;;;02e47/36n41;;;400Hz ID+7 gap;;;
417.000;c;BÇchar;8;;BC;ALG;;b;;;;;;;;INACTIVE;;;
421.000;c;Batna;5;;BTN;ALG;;b;;;;;06e07/35n34;;;U1035 INACTIVE;;;
423.000;;Bejaia / Soummam;6;;BJA;ALG;;b;0.040;;;;05e02/36n41;;;524Hz ID+15 tone;;;
424.000;;Ghriss;29;;GRS;ALG;;b;0.025;;;;00e07/35n14;;;U15 ID+11 gap;;;
432.000;;Hammam Bou Hadjar for Oran;46;;HMB;ALG;;b;0.025;;;;00w57/35n21;;;U6 ID+15 tone;;;
435.000;;In Guezzam;11;;IGZ;ALG;;b;;;;;05e47/19n34;;;U33 ID+16 tone RX 435.03;;;
490.000;c;Algiers;16;;$03V;ALG;;b;;;;;03e17/36n39;;;BCST @ 0330, 0730, 1130, 1530, 1930;;;
490.000;;Algiers/7TA;16;;7TA;ALG;;r;;;;;03e11/36n44;;;NAVTEX Area 3 ID V;;;
490.000;;Tafaroui;31;;TFR;ALG;;b;;;;;;;;1029Hz ID+5 gap Sends an extra S (o;;;
510.000;;Blida;9;;BL;ALG;;b;;;;;02e47/36n31;;;1030Hz ID+6 gap;;;
511.000;c;Hassi Khebi;37;;HKI;ALG;;b;;;;;05w17/29n11;;;3Hz ID+15 tone INACTIVE - NOW ON 41;;;
518.000;;Algiers/7TA;16;en;7TA;ALG;;r;;;;;03e11/36n44;;;NAVTEX Area 3 ID B;;;
531.000;;F'Kirina;4;ar;;ALG;;;600.000;;;;07e21/35n44;;;Radio AlgÇrie Internationale (ex) Jil FM until Feb20;;;
549.000;;Sidi Hamadouche;22;ar;Jil FM;ALG;;;600.000;;;;00w35/35n17;;;from 15Jan2012, Chaåne 1 replaced b;;;
558.000;;Touggourt;30;ar;;ALG;;;10.000;;;;06e04/33n09;;;Radio Ouargla;;;
576.000;;Kenadsa (BÇchar);8;ar;;ALG;;;400.000;;;;02w20/31n34;;;Multilingual, ex Radio BÇchar;;;
666.000;;Tindouf;37;ar;;ALG;;;10.000;;;;08w09/27n40;;;Radio Tindouf;;;
693.000;;Reggane;1;ar;;ALG;;;10.000;;;;00e11/26n44;;;Radio Adrar;;;
693.000;c;Aboudid (Ain El Hammam);15;be;;ALG;;;4.000;;;;04e13/36n37;;;ex Chaåne 2;;;
702.000;;Laghouat;3;ar;R.Coran/R.Laghouat/R.Culture/Chaåne;ALG;;;25.000;;;;02e55/33n41;70;;ex Radio Laghouat;;;
702.000;c;Rabouni (Tindouf);37;xx;;ALG;;;;;;;08w06/27n33;;;ex Saharawi Arab Dem.Rep.Nat. Radio;;;
738.000;;In Amenas;33;ar;;ALG;;;10.000;;;;09e34/28n03;;;Radio Illizi;;;
756.000;;Djanet;33;ar;;ALG;;;;;;;09e28/24n34;;;Radio Coran;;;
783.000;;El Oued;39;ar;;ALG;;;10.000;;;;06e50/33n22;;;Radio El Oued Souf;;;
783.000;;Djanet;33;;;ALG;;;5.000;;;;09e28/24n34;;;Radio Illizi;;;
837.000;;BÇchar;8;fr;;ALG;;;5.000;;;;02w13/31n38;;;Chaåne 3;;;
873.000;;Ghardaia;47;ar;;ALG;;;10.000;;;;03e41/32n30;;;Radio Ghardaia;;;
891.000;;Ouled Fayet;16;ar;;ALG;;;300.000;;;;02e57/36n43;;;Multilingual, irregular, (ex) Chaåne;;;
909.000;;Tamanrasset;11;ar;;ALG;;;10.000;;;;05e32/22n48;;;Chaåne 1;;;
927.000;;Timimoun;1;ar;;ALG;;;10.000;;;;00e15/29n17;;;Radio Adrar;;;
981.000;;Ouled Fayet;16;be;;ALG;;;300.000;;;;02e57/36n43;;;Chaåne 2;;;
1026.000;;Hassi Messaoud;30;ar;;ALG;;;10.000;;;;06e04/31n44;;;Radio Ouargla;;;
1071.000;;Illizi;33;ar;;ALG;;;5.000;;;;08e28/26n31;;;Chaåne 1;;;
1089.000;;Adrar;1;ar;;ALG;;;10.000;;;;00w17/27n51;;;Chaåne 2/Radio Adrar;;;
1161.000;;In Salah;11;ar;;ALG;;;10.000;;;;02e30/27n12;;;Radio Tamanrasset;;;
1422.000;;Ouled Fayet;16;xx;;ALG;;;50.000;;;;02e57/36n43;;;rep. inactive in 2015, but back lat;;;
1550.000;;Rabouni (Tindouf);37;xx;;ALG;;;50.000;;;;08w06/27n33;50;;National Radio of the Sahrawi Arab;;;
1792.000;;Algiers;16;;;ALG;;u;;;;;03e03/36n46;;;7TA Alger Radio;;;
1911.000;;Annaba;23;;;ALG;;u;;;;;07e46/36n54;;;Annaba Radio;;;
2187.500;;Alger Radio;16;;;ALG;;2;;;;;03e07/36n44;;;Alger Radio;;;
2187.500;;Algiers / Houari Boumedienne;16;;;ALG;;b;;;;;03e07/36n41;;;6052110;;;
2187.500;;CROSS Anaba;23;;;ALG;;b;;;;;;;;6053814;;;
2394.000;;Annaba;23;;;ALG;;u;;;;;07e46/36n54;;;Annaba Radio;;;
2586.000;;Oran;31;;;ALG;;u;;;;;00w39/35n41;;;7TO Oran Radio;;;
